name,Vimeo Connection to Map,Reference ID,Strategy Categories,Strategy Name,Lacrosse Lab Link (JSONB Array),description (Combined),Paste Embed Code in This Column (JSONB Array)
"The Riding Playbook","138","138","Riding","2 Down (Windshield Wiper)","[""https://lacrosse.labradorsports.com/play?l=RkMWaLbarcxizqi0yxPR"",""https://lacrosse.labradorsports.com/play?l=FSL5dUinU0xYkVdNwYps"",""https://lacrosse.labradorsports.com/play?l=tqEHTVTyJtKfnFMY0anR"",""https://lacrosse.labradorsports.com/play?l=AZt1TxzMc9lDig0kT198"",""https://lacrosse.labradorsports.com/play?l=99KAxfSjuWWXgQaoHZVR"",""https://lacrosse.labradorsports.com/play?l=RS7f3CCb06zZuzigOFC1""]","The two down or windshield wiper ride uses two attackmen to play the base defenseman and Goalie of the clear.  While everyone else  matches up man to man up field. If a pass is made to an upfield player the attackme must chase so that when a midfielder turns them back they will have the opportunity to double. | The two down or windshield wiper ride uses two attackmen to play the base defenseman and Goalie of the clear.  While everyone else  matches up man to man up field. If a pass is made to an upfield player the attackmeb must chase so that when a midfielder turns them back they will have the opportunity to double. | In the 3-3 zone ride -  all players will drop immediately to prevent any early break. Once we’ve forced the adjacent pass -  players will try to double near the midline with attack and midfield groups. | The Goalie Ride is used to pick on other teams goalies by making them handle the ball and locking off all the other players. | During a ride -  we have three objectives. 

First -  we want to get in to play defense without giving our opponent Transition offensive opportunities. 

Second -  we want to substitute our defensive personnel onto the field. 

Third -  we want to pressure the clearing team to create turnovers -  so we can generate office of opportunities of our own. 

These turnovers are usually the result of forcing long passes or double teaming the Clearing Personnel by setting traps.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=RkMWaLbarcxizqi0yxPR\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=FSL5dUinU0xYkVdNwYps\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=tqEHTVTyJtKfnFMY0anR\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=AZt1TxzMc9lDig0kT198\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=99KAxfSjuWWXgQaoHZVR\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=RS7f3CCb06zZuzigOFC1\"" style=\""max-width: 100%\""></iframe>""]"
"Throwback Line Drills","139","139","","Throwback Line Drills","[]","","[]"
"Touch The Hat Approach Drill","140","140","","Touch The Hat Approach Drill","[]","","[]"
"Trailer Fast Break (5v4)","141","141","Transition Offense","Trailer Break (5v4)","[""https://lacrosse.labradorsports.com/play?l=C3ObvlQs9ZaN1YkRsQUT"",""https://lacrosse.labradorsports.com/play?l=CTxkLSLiT9eU3EVyf1C7"",""https://lacrosse.labradorsports.com/play?l=YqZozjgKCGYQSDSt51hz""]","Transition opportunities come in all shapes and sizes. This 5v4 break can be tough for players to recognize -  but once they see the advantage -  it’s hard to stop. | This is Amhurst trailer brake scenario.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=C3ObvlQs9ZaN1YkRsQUT\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=CTxkLSLiT9eU3EVyf1C7\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=YqZozjgKCGYQSDSt51hz\"" style=\""max-width: 100%\""></iframe>""]"
"Triangle Approach Drill","142","142","","Triangle Approach Drill","[]","","[]"
"Triangle Show Drill","143","143","","Triangle Show Drill","[]","","[]"
"3-3 Twist","144","144","Man Up","3-3 Twist","[""https://lacrosse.labradorsports.com/play?l=QItHRTJ49Z7SMUEXYo2l"",""https://lacrosse.labradorsports.com/play?l=CRVOf0dv5mVcrhiAj2fF"",""https://lacrosse.labradorsports.com/play?l=cU3LX6irjriuxQDvxIfT"",""https://lacrosse.labradorsports.com/play?l=XU92vwwK3hM0K8VdleVa""]","Simple and Effective. This man up play exposes the man down defensive strategy and allows your trigger man to read the field and make a variety of passes to open players.

If the defense puts 3 defenseman High -  the ball carrier will look for skip passes through the defense. | Simple and Effective. This man up play exposes the man down defensive strategy and allows your trigger man to read the field and make a variety of passes to open players.

If the on ball defenseman stays with -  throw back and play the backward 3v2. | Simple and Effective. This man up play exposes the man down defensive strategy and allows your trigger man to read the field and make a variety of passes to open players.

If the on ball defenseman falls off -  the ball carrier should step in and play the forward 3v2.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=QItHRTJ49Z7SMUEXYo2l\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=CRVOf0dv5mVcrhiAj2fF\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=cU3LX6irjriuxQDvxIfT\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=XU92vwwK3hM0K8VdleVa\"" style=\""max-width: 100%\""></iframe>""]"
"Types of 2 Man Games","145","145","2 Man Ideas","2 Man - With Ball","[""https://lacrosse.labradorsports.com/play?l=Z2kgYCeYuETMCDSbSnQg"",""https://lacrosse.labradorsports.com/play?l=XeGBaagrFgUQ51EwCD2L"",""https://lacrosse.labradorsports.com/play?l=Q46W6F6QDGXBI0BGHTNl"",""https://lacrosse.labradorsports.com/play?l=ZoZhX6d5CCCEGKmloqIY"",""https://lacrosse.labradorsports.com/play?l=PzDjbVSbBoUkLZUFt6ia"",""https://lacrosse.labradorsports.com/play?l=yv6FGwQDjOrGTJueJxyp"",""https://lacrosse.labradorsports.com/play?l=YrmMwaaNYGhuKLxITCsV"",""https://lacrosse.labradorsports.com/play?l=cwCPkQF4hA1Ck9ycNxQ2"",""https://lacrosse.labradorsports.com/play?l=t5aLiwlI7OthmeTgn2x4"",""https://lacrosse.labradorsports.com/play?l=b1VtJIUltMcsdJV6H94R""]","A shallow cut creates space for the dodger by moving under the dodge.  This helps to keep his defenseman away from the dodger. | 2 Man Game Concept - Fade / Drift

Players will fade to create space for when the dodger is running at them.  They will move on the edge of dangerous space and their defenseman will be in a tough decision of whether they should slide or not.  

The dodger should try to turn the corner and get to the middle of the field -  throw fakes to keep the slide away -  and pass if the slide comes. | 2 Man Game Concept - Give and Go.

One player will pass to another and then cut to the goal. | 2 Man Game Concept - Mirror

A player on the crease executes a mirror by moving to the opposite the dodge.  The mirror works well because it puts a defensive player in a prime positon to slide. | 2 Man Game Concept - Overlap

An overlap is when the off ball player creates space by running to the outside of the ball carrier.  This is dangerous because the off-ball defenseman can execute a ""Free Double"" if the offensive players are not elusive.  A free double happens when an off-ball player can double the ball while being in a good off-ball position on their man. | 2 Man Game Concept - Pick

A pick is used to create an advantage for the ball carrier or the off ball players.  The off-ball player will stand still in the way of the on-ball defenseman.  The on ball defenseman will need to try to get around the pick and the off-ball player must decide whether the on ball player needs help. | A “Draft Cut” is when a player Cuts in the wake of another Cut. | A Mumbo is when an off ball offensive player seals their own Man into the Middle of the field for a player popping off the crease around them. | An “Off Ball Pick” happens when an off ball player impedes the Motion off an off ball player to create space for a teammate. | A seal is when an off ball offensive player impedes the movement of the defenseman off another off ball player.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Z2kgYCeYuETMCDSbSnQg\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=XeGBaagrFgUQ51EwCD2L\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Q46W6F6QDGXBI0BGHTNl\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=ZoZhX6d5CCCEGKmloqIY\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=PzDjbVSbBoUkLZUFt6ia\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=yv6FGwQDjOrGTJueJxyp\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=YrmMwaaNYGhuKLxITCsV\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=cwCPkQF4hA1Ck9ycNxQ2\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=t5aLiwlI7OthmeTgn2x4\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=b1VtJIUltMcsdJV6H94R\"" style=\""max-width: 100%\""></iframe>""]"
"UNC's 3 Man Slow Break Offense","146","146","Transition Offense","UNC's 3 Man Slow Break Offense","[]","","[]"
"Up Pick to Down Pick Box Offense","147","147","","Up Pick to Down Pick Box Offense","[]","","[]"
"Virginia's Man Up Motions into a 3-3","148","148","Man Up","Virginia’s Man Up Motions into a 3-3","[""https://lacrosse.labradorsports.com/play?l=8ueg0ZApZqb7xTGntv5I"",""https://lacrosse.labradorsports.com/play?l=v2j7wezgLzT0ZDkaFAY3"",""https://lacrosse.labradorsports.com/play?l=g6IQhhy79FYSyM8QKkRs""]","Virginia’s Man Up Offense is an excellent example of how using simple motions to put playmakers in the right positions can be all you need.

Virginia’s 2-3-1 to 3-3 emphasizes the shooting ability of #6 Dox Aitken by using #5 Matt Moore to seal the top right defenseman for him. | Virginia’s Man Up Offense is an excellent example of how using simple motions to put playmakers in the right positions can be all you need.

Virginia’s 3-3 to 3-3 Man Up Motion emphasizes the feeding ability of #2 Michael Kraus to exploit the off ball 2v1 between #22 Ryan Conrad and #3 Ian Laviano. This is also a quick hitter play that is traditionally run vs Man Down Defenses that use 3 players to defend the top 3 players in the man up. | Virginia’s Man Up Offense is an excellent example of how using simple motions to put playmakers in the right positions can be all you need.

Virginia’s Open to 3-3 Motion emphasizes the 2nd pass options that #5 Matt Moore will have after receiving the first pass from #2 Michael Kraus.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=8ueg0ZApZqb7xTGntv5I\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=v2j7wezgLzT0ZDkaFAY3\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=g6IQhhy79FYSyM8QKkRs\"" style=\""max-width: 100%\""></iframe>""]"
"Virginia's 2-2-2 from X","149","149","Offense","Virginia‘a 2-2-2 From X","[""https://lacrosse.labradorsports.com/play?l=3pALMIGh5yocKiWdIOkY"",""https://lacrosse.labradorsports.com/play?l=8mHwEoSROCQ2UU90MoHV"",""https://lacrosse.labradorsports.com/play?l=cefhevKmVhAZ1zX8KTLs"",""https://lacrosse.labradorsports.com/play?l=F69ui9cKyPUu7aPspMUC"",""https://lacrosse.labradorsports.com/play?l=qEktpOYlt3WYDhnjQ7eO"",""https://lacrosse.labradorsports.com/play?l=9tg6MXBf8rfoLolKJvWl"",""https://lacrosse.labradorsports.com/play?l=6M9zObCXA6sK3wLRwonn"",""https://lacrosse.labradorsports.com/play?l=BT0m6rFo1DngcfHdOzyA""]","A staple in Virginia’s 2019 National Championship run! This is the play they used to beat Maryland and Duke in OT and used it to score 5 times in the National Championship against Yale! | A staple in Virginia’s 2019 National Championship run! This is the play they used to beat Maryland and Duke in OT and used it to score 5 times in the National Championship against Yale!

If the adjacent Defenseman slides the near side fade will step in for a step down. | A staple in Virginia’s 2019 National Championship run! This is the play they used to beat Maryland and Duke in OT and used it to score 5 times in the National Championship against Yale!

If the crease slides and the two covers the near side cut -  he will pass in the backside cut. | A staple in Virginia’s 2019 National Championship run! This is the play they used to beat Maryland and Duke in OT and used it to score 5 times in the National Championship against Yale!

If the dodger can beat his man -  he will turn the corner and score. | A staple in Virginia’s 2019 National Championship run! This is the play they used to beat Maryland and Duke in OT and used it to score 5 times in the National Championship against Yale!

If the crease slides and there’s no two -  he will pass in the near side cut. | A staple in Virginia’s 2019 National Championship run! This is the play they used to beat Maryland and Duke in OT and used it to score 5 times in the National Championship against Yale!

If the crease slides and the two covers the near side cut and the 3 covers the backside cut -  the through pass will be open.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=3pALMIGh5yocKiWdIOkY\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=8mHwEoSROCQ2UU90MoHV\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=cefhevKmVhAZ1zX8KTLs\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=F69ui9cKyPUu7aPspMUC\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=qEktpOYlt3WYDhnjQ7eO\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=9tg6MXBf8rfoLolKJvWl\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=6M9zObCXA6sK3wLRwonn\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=BT0m6rFo1DngcfHdOzyA\"" style=\""max-width: 100%\""></iframe>""]"
"Weave and Mumbo Box Offense","150","150","Offense","Box Offense","[""https://lacrosse.labradorsports.com/play?l=iIPQnliypCjGql0X3PsY""]","The Weave and Mumbo Box Lacrosse Offense is a simple motion offense based on the Duke Fade and Follow Offense. It’s easy for players to remember and creates a ton of great shooting opportunities!","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=iIPQnliypCjGql0X3PsY\"" style=\""max-width: 100%\""></iframe>""]"
"Wesleyans National Championship Zone Defense","151","151","","Wesleyans National Championship Zone Defense","[]","","[]"
"West Genny","152","152","","West Genny","[]","","[]"
"Wild Cat Trap Zone Defense","153","153","Defense","Wild Cat Zone Defense","[""https://lacrosse.labradorsports.com/play?l=Pi6CsmPHzf7FQvA7MGiy"",""https://lacrosse.labradorsports.com/play?l=6w12KlTEZH4epa3BVns0"",""https://lacrosse.labradorsports.com/play?l=bRaeiajeLlkUZU67lpKN"",""https://lacrosse.labradorsports.com/play?l=7CKhJuUeogfGzJTzEWCj"",""https://lacrosse.labradorsports.com/play?l=UllWuw2XSg8byDJMo9bC"",""https://lacrosse.labradorsports.com/play?l=3yQwLls81IJq2aZoZ2iZ"",""https://lacrosse.labradorsports.com/play?l=HCfmU7u4KQDDzhfo6MNK"",""https://lacrosse.labradorsports.com/play?l=sHfbHV7XyCxXgPbSx9Xv"",""https://lacrosse.labradorsports.com/play?l=FsCtO9zgVT0vWwgQUEVt"",""https://lacrosse.labradorsports.com/play?l=X1VLkQZcZiYon93oTW8T"",""https://lacrosse.labradorsports.com/play?l=ReiErbED7k0GWNgq9QA2""]","This diagram depicts Wild Cat Zones
1 Zone is Red -  
2 Zone is Orange -  
3 Zone is Grey -  
4 Zone is Green
5 Zone is Blue 
6 Zone is Yellow | In the Wild Cat Zone -  the Hawk and Cat will string up to top center and down to X.   One of the main tenets of the zone is that we must have pressure back at X as we will only ever play X with one player.  There must be pressure because we will always try to trap on the corners. | In Wild Cat -  we have 3 rules the effect how we play the ball at X.  
1) We will send 1 Player to play the ball at X with loads of pressure -  almost to the point of trying to get beat.  This player is always the Cat.
2) When the ball is at X -  the Hawk will be covering the player on the crease looking up field for cutters -  while the 4 and 6 Zones hold their positions looking to create traps at the pipes.
3) If the ball is transferred from one side of X to another -  we will play the ball with as much pressure as possible.  If the ball is carried from one side of X to the other -  the on ball defenseman will play the ball the whole way while the other two low defenseman switch to occupy the 4 and 6 zones.  If the ball is passed from back left to back right or vice versa -  the Cat will the zone of the defenseman playing the ball.
4) Once the ball is passed up top -  the three low zones will snap back with as little movement as possible.  The players on the perimeter will bump the 4 or 6 zones back into the Cat Position.
5) If we trap at the 4 or 6 and the ball moves to the wing -  we will rotate with everyone except the backside low defender. | If a team is trying to get to the middle of the field with their strong hands -  we can switch from funneling to the middle to pushing them down the alley.  When MR receives the ball in the 3 position -  M3 will take away their right hand sweep and push him down the alley.
As MR goes down the alley -  D6 will hold in his position trying to deter the dodge.  If he must slide -  it should be an attempt to trap MR.  
Once D6 has slid and the ball is passed -  the rotation will begin with the Cat rotating to A2 and the Hawk rotating down to M1 on the crease.  
*Notice that this keeps -  D4 and M1 in place on the backside.
Once A2 passes to A1 -  D4 will naturally move out to play him.  D6 -  will move to the crease position to become the new Cat and push the Hawk back up to top center and the Cat will move to the 6 zone. | Once we’ve trapped an off handed dodger on the sweep -  if he is able to make a pass to the adjacent -  we will rotate everyone except the low backside 4 or 6 zones.  In the example -  it is the 6 zone that will not rotate. | In the Wild Cat Zone -  our first point of emphasis is getting rid of strong handed dodges down the alleys from the high wings and top center.  Ideally -  we would rather push strong handed players to the middle to their weak hand -  rather than down the alley to their strong hands.  This will allow us to trap offensive players between the Hawk shorty zones by allowing them to turn in side and pouncing on them. | Once we’ve trapped an off handed dodger on the sweep -  if he is able to make a pass to the adjacent -  we will rotate everyone except the low backside 4 or 6 zones.  In the example -  it is the 6 zone that will not rotate.
Once there has been a rotation -  the players will do their best to get back into their original zones.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Pi6CsmPHzf7FQvA7MGiy\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=6w12KlTEZH4epa3BVns0\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=bRaeiajeLlkUZU67lpKN\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=7CKhJuUeogfGzJTzEWCj\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=UllWuw2XSg8byDJMo9bC\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=3yQwLls81IJq2aZoZ2iZ\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=HCfmU7u4KQDDzhfo6MNK\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=sHfbHV7XyCxXgPbSx9Xv\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=FsCtO9zgVT0vWwgQUEVt\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=X1VLkQZcZiYon93oTW8T\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=ReiErbED7k0GWNgq9QA2\"" style=\""max-width: 100%\""></iframe>""]"
"Wind Up 1v1's","154","154","","Wind Up 1v1's","[]","","[]"
"Womens Lacrosse : How to Cradle, Switch Hands, and Catch","155","155","","Womens Lacrosse : How to Cradle, Switch Hands, and Catch","[]","","[]"
"Womens Sticks: All the Skills Transfer","156","156","","Womens Sticks: All the Skills Transfer","[]","","[]"
"Wristers","157","157","","Wristers","[]","","[]"
"Y Drill (21-12)","158","158","","Y Drill (21-12)","[]","","[]"
"Yale Bulldog Set Play vs Zone Defense","159","159","Zone Offense - Set Plays","Bull Dog Set Play","[""https://lacrosse.labradorsports.com/play?l=RqgOOtLHdHlqxg8Oei2u""]","This is a play in the 1-4–1 carry step off offense.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=RqgOOtLHdHlqxg8Oei2u\"" style=\""max-width: 100%\""></iframe>""]"
"14 Double Mumbo Set Play","160","160","Offense - Set Plays","1-4-1 Double Mumbo","[""https://lacrosse.labradorsports.com/play?l=P2v6sjaCGcODVFbDWZBa""]","This play is designed to give your best shooters a step-down shot from 8-10 yards","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=P2v6sjaCGcODVFbDWZBa\"" style=\""max-width: 100%\""></iframe>""]"
"3-3 4 Man Wheel Man Up Offenses","161","161","Man Up","3-3 4 Man Side Wheel","[""https://lacrosse.labradorsports.com/play?l=PDGCmTBKVFkCbPWpo4Sl"",""https://lacrosse.labradorsports.com/play?l=bczxoo7scYOmPLOarTxN"",""https://lacrosse.labradorsports.com/play?l=cfpHnEEXT9JaKtnjIEbh"",""https://lacrosse.labradorsports.com/play?l=ALhfR00MsVMBqj0spFiz"",""https://lacrosse.labradorsports.com/play?l=2wHVhiG46tWITYyFOabE"",""https://lacrosse.labradorsports.com/play?l=k3Oew8jaP75miGtpVmZd"",""https://lacrosse.labradorsports.com/play?l=GgQmpSnJEWVEFzvvBz3H"",""https://lacrosse.labradorsports.com/play?l=3h0VyWH0s3yFGkvZUmen"",""https://lacrosse.labradorsports.com/play?l=c3xnjqvMZeNGNE4H6b2T"",""https://lacrosse.labradorsports.com/play?l=o72gTRsFrTiR4K2X5GrT""]","This 4 Man Side Wheel | Use this 4 Man Side Wheel and double seal to get your best shooter free! | This simple 4 Man Top Wheel Motions put every Man Down Defense in difficult situations that are easy to read and exploit.

If the defense puts 3 defenseman High -  the ball carrier will look for skip passes through the defense. | This simple 4 Man Top Wheel Motions put every Man Down Defense in difficult situations that are easy to read and exploit.

In this 4 Man Top Wheel -  the player cutting the middle will seal the top left defenseman in to allow for the fading player to take a step down. | This simple 4 Man Top Wheel Motions put every Man Down Defense in difficult situations that are easy to read and exploit.

If the on ball defenseman stays with and the crease defenseman stays inside -  throw back and play the backward 3v2. | This simple 4 Man Top Wheel Motions put every Man Down Defense in difficult situations that are easy to read and exploit.

If the on ball defenseman falls off to cover the crease throw forward and play the 3v2.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=PDGCmTBKVFkCbPWpo4Sl\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=bczxoo7scYOmPLOarTxN\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=cfpHnEEXT9JaKtnjIEbh\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=ALhfR00MsVMBqj0spFiz\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=2wHVhiG46tWITYyFOabE\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=k3Oew8jaP75miGtpVmZd\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=GgQmpSnJEWVEFzvvBz3H\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=3h0VyWH0s3yFGkvZUmen\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=c3xnjqvMZeNGNE4H6b2T\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=o72gTRsFrTiR4K2X5GrT\"" style=\""max-width: 100%\""></iframe>""]"
"3-3 Man Up","162","162","Man Up","3-3 Man Up","[]","","[]"
"Hopkins 3-3 Wheel and Seal Man Up Play","163","163","Man Up","Hopkins 3-3 Wheel and Seal Man Up Play","[]","","[]"
"How to Catch in Lacrosse","164","164","","How to Catch in Lacrosse","[]","","[]"
"How to Pass in Lacrosse","165","165","","How to Pass in Lacrosse","[]","","[]"
"How to Pick Up Ground Balls in Lacrosse","166","166","","How to Pick Up Ground Balls in Lacrosse","[]","","[]"
"How to Shoot in Lacrosse","167","167","","How to Shoot in Lacrosse","[]","","[]"
"How to Shoot In Tight in Lacrosse","168","168","","How to Shoot In Tight in Lacrosse","[]","","[]"
"How to Shoot On The Run in Lacrosse","169","169","","How to Shoot On The Run in Lacrosse","[]","","[]"
"How to Shoot with Time and Room in Lacrosse","170","170","","How to Shoot with Time and Room in Lacrosse","[]","","[]"
"How to Switch Hands in Lacrosse","171","171","","How to Switch Hands in Lacrosse","[]","","[]"
"How to Throw Fakes in Lacrosse","172","172","","How to Throw Fakes in Lacrosse","[]","","[]"
"L Fast Break","173","173","Transition Offense","Fast Break (4v3)","[""https://lacrosse.labradorsports.com/play?l=OI8CMfcWrNs6p2haQpuR"",""https://lacrosse.labradorsports.com/play?l=4hRQQU2ijIDKViWXbVXI"",""https://lacrosse.labradorsports.com/play?l=a4Ui37Y0Kz4jGCAD1sQi"",""https://lacrosse.labradorsports.com/play?l=zPRzRHUv0SMyjnzuSHLI""]","Tried and True… The “L” Fast Break is simple and effective. | Tried and True… The “L” Fast Break is simple and effective.

The player coming the into the offensive end must pick a side and the Attack will rotate into their L set.  Their Rotation should ensure that a righty or lefty is point on the correct side. | Tried and True… The “L” Fast Break is simple and effective.

This Rotation will ensure that a single player will be the point player regardless of the side. | Tried and True… The “L” Fast Break is simple and effective.

Looks are based on eye site.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=OI8CMfcWrNs6p2haQpuR\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=4hRQQU2ijIDKViWXbVXI\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=a4Ui37Y0Kz4jGCAD1sQi\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=zPRzRHUv0SMyjnzuSHLI\"" style=\""max-width: 100%\""></iframe>""]"
"You're Ruining Reps with Greasy Balls! The POWLAX Greaser Expirament","174","174","","You're Ruining Reps with Greasy Balls! The POWLAX Greaser Expirament","[]","","[]"
"Butt to Butt Ground Balls","175","175","","Butt to Butt Ground Balls","[]","","[]"
